Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
-0.137773E+00 -0.961937E+00   0.235999E+00
-0.121817E+00 -0.945193E+00   0.302937E+00
-0.102419E+00 -0.924969E+00   0.365981E+00
-0.800474E-01 -0.901830E+00   0.424612E+00
-0.551972E-01 -0.876356E+00   0.478490E+00
-0.283587E-01 -0.849118E+00   0.527442E+00
 0.000000E+00 -0.820644E+00   0.571440E+00
-0.170153E+00 -0.985271E+00   0.170068E-01
-0.166678E+00 -0.982566E+00   0.823505E-01
-0.158698E+00 -0.976352E+00   0.146806E+00
-0.146382E+00 -0.966746E+00   0.209700E+00
-0.129983E+00 -0.953932E+00   0.270405E+00
-0.109830E+00 -0.938144E+00   0.328364E+00
-0.863118E-01 -0.919665E+00   0.383100E+00
-0.598602E-01 -0.898811E+00   0.434229E+00
-0.309335E-01 -0.875920E+00   0.481463E+00
 0.000000E+00 -0.851342E+00   0.524611E+00
-0.178880E+00 -0.983767E+00   0.142722E-01
-0.175411E+00 -0.981920E+00   0.711636E-01
-0.167364E+00 -0.977614E+00   0.127520E+00
-0.154851E+00 -0.970857E+00   0.182916E+00
-0.138046E+00 -0.961669E+00   0.236929E+00
-0.117188E+00 -0.950085E+00   0.289148E+00
-0.925752E-01 -0.936157E+00   0.339174E+00
-0.645623E-01 -0.919969E+00   0.386637E+00
-0.335552E-01 -0.901635E+00   0.431195E+00
 0.000000E+00 -0.881300E+00   0.472557E+00
-0.187391E+00 -0.982219E+00   0.114016E-01
-0.183951E+00 -0.981109E+00   0.598967E-01
-0.175855E+00 -0.978461E+00   0.108112E+00
-0.163164E+00 -0.974218E+00   0.155810E+00
-0.145981E+00 -0.968291E+00   0.202737E+00
-0.124455E+00 -0.960574E+00   0.248614E+00
-0.987926E-01 -0.950952E+00   0.293140E+00
-0.692612E-01 -0.939314E+00   0.335994E+00
-0.361958E-01 -0.925571E+00   0.376840E+00
 0.000000E+00 -0.909666E+00   0.415341E+00
-0.195677E+00 -0.980632E+00   0.843353E-02
-0.192302E+00 -0.980131E+00   0.486175E-01
-0.184179E+00 -0.978883E+00   0.886928E-01
-0.171325E+00 -0.976791E+00   0.128555E+00
-0.153779E+00 -0.973706E+00   0.168073E+00
-0.131611E+00 -0.969430E+00   0.207085E+00
-0.104933E+00 -0.963730E+00   0.245383E+00
-0.739216E-01 -0.956351E+00   0.282717E+00
-0.388296E-01 -0.947029E+00   0.318793E+00
 0.000000E+00 -0.935519E+00   0.353277E+00
-0.203734E+00 -0.979011E+00   0.538287E-02
-0.200488E+00 -0.978983E+00   0.373698E-01
-0.192376E+00 -0.978868E+00   0.693487E-01
-0.179381E+00 -0.978551E+00   0.101299E+00
-0.161485E+00 -0.977848E+00   0.133176E+00
-0.138685E+00 -0.976511E+00   0.164901E+00
-0.111009E+00 -0.974230E+00   0.196347E+00
-0.785411E-01 -0.970643E+00   0.227339E+00
-0.414472E-01 -0.965351E+00   0.257641E+00
 0.000000E+00 -0.957942E+00   0.286963E+00
-0.211554E+00 -0.977364E+00   0.223671E-02
-0.208580E+00 -0.977655E+00   0.261692E-01
-0.200575E+00 -0.978395E+00   0.501390E-01
-0.187493E+00 -0.979462E+00   0.741697E-01
-0.169272E+00 -0.980659E+00   0.982657E-01
