Free surface data file
xf,yf,zf = collocation points
xs,ys,zs = source points
phif = potential on the free surface
sigma = source strength (this is the solution I got)
Number of free surface nodes =  2486
 xf            yf             zf             xs             ys             zs             phif           sigma
 0.717810E+01  0.691047E+00  -0.304683E-01   0.717810E+01   0.691047E+00   0.226178E+00   0.461286E+00   0.197243E-02
 0.751028E+01  0.642158E+00  -0.305907E-01   0.751028E+01   0.642158E+00   0.226055E+00   0.492024E+00   0.147335E-02
 0.782478E+01  0.592908E+00  -0.304255E-01   0.782478E+01   0.592908E+00   0.226220E+00   0.521637E+00   0.101029E-02
 0.812256E+01  0.543520E+00  -0.296138E-01   0.812256E+01   0.543520E+00   0.227032E+00   0.549713E+00   0.518429E-03
 0.840450E+01  0.494194E+00  -0.282741E-01   0.840450E+01   0.494194E+00   0.228372E+00   0.575801E+00   0.906883E-04
 0.867144E+01  0.445111E+00  -0.261437E-01   0.867144E+01   0.445111E+00   0.230502E+00   0.599531E+00  -0.262444E-03
 0.892419E+01  0.396435E+00  -0.229007E-01   0.892419E+01   0.396435E+00   0.233745E+00   0.620290E+00  -0.726767E-03
 0.916349E+01  0.348310E+00  -0.177221E-01   0.916349E+01   0.348310E+00   0.238924E+00   0.637334E+00  -0.100092E-02
 0.939006E+01  0.300863E+00  -0.965376E-02   0.939006E+01   0.300863E+00   0.246992E+00   0.649013E+00  -0.265055E-02
 0.960458E+01  0.254207E+00   0.403136E-02   0.960458E+01   0.254207E+00   0.260677E+00   0.653751E+00  -0.354073E-02
 0.980769E+01  0.208437E+00   0.271436E-01   0.980769E+01   0.208437E+00   0.283790E+00   0.647992E+00  -0.244580E-02
 0.100000E+02  0.176079E+00   0.612520E-01   0.100000E+02   0.176079E+00   0.317898E+00   0.619960E+00   0.628786E-02
 0.102564E+02  0.163636E+00   0.117078E+00   0.102564E+02   0.163636E+00   0.373724E+00   0.533481E+00   0.383202E-01
 0.105219E+02  0.163636E+00   0.156257E+00   0.105219E+02   0.163636E+00   0.412903E+00   0.374751E+00   0.202177E-01
 0.107969E+02  0.163636E+00   0.126323E+00   0.107969E+02   0.163636E+00   0.382969E+00   0.197268E+00  -0.334908E-01
 0.110817E+02  0.163636E+00   0.602453E-01   0.110817E+02   0.163636E+00   0.316891E+00   0.105126E+00  -0.248589E-01
 0.113766E+02  0.163636E+00   0.115316E-01   0.113766E+02   0.163636E+00   0.268178E+00   0.827827E-01   0.122826E-01
 0.116820E+02  0.163636E+00  -0.847381E-02   0.116820E+02   0.163636E+00   0.248172E+00   0.972250E-01   0.151546E-01
 0.119982E+02  0.163636E+00  -0.101530E-01   0.119982E+02   0.163636E+00   0.246493E+00   0.122620E+00  -0.142654E-01
 0.123257E+02  0.163636E+00  -0.101793E-02   0.123257E+02   0.163636E+00   0.255628E+00   0.137520E+00  -0.447530E-02
 0.126648E+02  0.163636E+00   0.126246E-01   0.126648E+02   0.163636E+00   0.269271E+00   0.125973E+00   0.130520E-01
 0.130161E+02  0.163636E+00   0.110572E-01   0.130161E+02   0.163636E+00   0.267703E+00   0.101994E+00  -0.471642E-02
 0.133798E+02  0.163636E+00   0.254908E-02   0.133798E+02   0.163636E+00   0.259195E+00   0.945998E-01  -0.414926E-02
 0.137564E+02  0.163636E+00   0.443068E-02   0.137564E+02   0.163636E+00   0.261077E+00   0.923019E-01   0.550566E-02
 0.141465E+02  0.163636E+00   0.488799E-02   0.141465E+02   0.163636E+00   0.261534E+00   0.838986E-01  -0.315892E-02
