Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.521546E+01  0.767528E+00  -0.116362E-01  -0.519280E+01   0.528539E+00  -0.890392E-02  -0.279890E+00  -0.135287E-01
-0.521546E+01  0.756654E+00  -0.149232E+00  -0.519335E+01   0.520127E+00  -0.114552E+00  -0.273082E+00   0.396406E-02
-0.521546E+01  0.727178E+00  -0.286828E+00  -0.519478E+01   0.496961E+00  -0.221950E+00  -0.255442E+00  -0.501172E-02
-0.521546E+01  0.679101E+00  -0.424424E+00  -0.519693E+01   0.458180E+00  -0.332299E+00  -0.228921E+00  -0.723681E-03
-0.521546E+01  0.612422E+00  -0.562020E+00  -0.519960E+01   0.402718E+00  -0.446222E+00  -0.195962E+00  -0.186770E-02
-0.521546E+01  0.527141E+00  -0.699616E+00  -0.520259E+01   0.329582E+00  -0.563817E+00  -0.158905E+00  -0.537889E-04
-0.521546E+01  0.423258E+00  -0.837212E+00  -0.520577E+01   0.238001E+00  -0.684823E+00  -0.119645E+00  -0.192935E-02
-0.521546E+01  0.300774E+00  -0.974808E+00  -0.520902E+01   0.127455E+00  -0.808809E+00  -0.795426E-01   0.619166E-02
-0.521546E+01  0.159688E+00  -0.111240E+01  -0.521226E+01   0.000000E+00  -0.935295E+00  -0.394842E-01  -0.666355E-02
-0.521546E+01  0.000000E+00  -0.125000E+01  -0.521546E+01   0.000000E+00  -0.106383E+01   0.000000E+00   0.354017E-02
-0.475436E+01  0.808866E+00  -0.126921E-01  -0.473355E+01   0.563039E+00  -0.946139E-02  -0.250199E+00  -0.696777E-02
-0.475436E+01  0.797274E+00  -0.150171E+00  -0.473409E+01   0.554301E+00  -0.112390E+00  -0.243751E+00  -0.705549E-03
-0.475436E+01  0.766111E+00  -0.287649E+00  -0.473546E+01   0.530345E+00  -0.217427E+00  -0.227276E+00  -0.292383E-02
-0.475436E+01  0.715378E+00  -0.425128E+00  -0.473750E+01   0.490090E+00  -0.325956E+00  -0.202794E+00  -0.134091E-02
-0.475436E+01  0.645075E+00  -0.562607E+00  -0.474000E+01   0.432247E+00  -0.438623E+00  -0.172751E+00  -0.150834E-02
-0.475436E+01  0.555201E+00  -0.700085E+00  -0.474277E+01   0.355660E+00  -0.555437E+00  -0.139400E+00  -0.133588E-03
-0.475436E+01  0.445757E+00  -0.837564E+00  -0.474567E+01   0.259478E+00  -0.676012E+00  -0.104482E+00  -0.158630E-02
-0.475436E+01  0.316741E+00  -0.975043E+00  -0.474861E+01   0.143163E+00  -0.799795E+00  -0.691802E-01   0.549839E-02
-0.475436E+01  0.168156E+00  -0.111252E+01  -0.475152E+01   0.642727E-02  -0.926215E+00  -0.342200E-01  -0.623678E-02
-0.475436E+01  0.000000E+00  -0.125000E+01  -0.475436E+01   0.000000E+00  -0.105476E+01   0.000000E+00   0.346609E-02
